index,id,title,type,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes
0,tm84618,Taxi Driver,MOVIE,1976,R,113,tt0075314,8.3,795222
1,tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,tt0071853,8.2,530877
2,tm70993,Life of Brian,MOVIE,1979,R,94,tt0079470,8,392419
3,tm190788,The Exorcist,MOVIE,1973,R,133,tt0070047,8.1,391942
4,ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,tt0063929,8.8,72895
5,tm14873,Dirty Harry,MOVIE,1971,R,102,tt0066999,7.7,153463
6,tm185072,My Fair Lady,MOVIE,1964,G,170,tt0058385,7.8,94121
7,tm98978,The Blue Lagoon,MOVIE,1980,R,104,tt0080453,5.8,69053
8,tm119281,Bonnie and Clyde,MOVIE,1967,R,110,tt0061418,7.7,111189
9,tm67378,The Professionals,MOVIE,1966,PG-13,117,tt0060862,7.3,16168
10,tm44204,The Guns of Navarone,MOVIE,1961,,158,tt0054953,7.5,50150
11,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,tt0079833,7.6,30277
12,tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,tt0079807,8.1,5141
13,tm96649,The Long Riders,MOVIE,1980,R,99,tt0081071,6.9,11329
14,tm16479,White Christmas,MOVIE,1954,,115,tt0047673,7.5,42373
15,tm135083,Cairo Station,MOVIE,1958,,77,tt0051390,7.5,4385
16,tm14491,The Queen,MOVIE,1968,,68,tt0183686,7.2,1117
17,tm89386,Hitler: A Career,MOVIE,1977,PG,150,tt0191182,7.5,2416
18,tm156453,FTA,MOVIE,1972,R,97,tt0068562,6.2,411
19,tm27298,Saladin the Victorious,MOVIE,1963,,186,tt0057357,7.6,2470
20,tm356209,Singapore,MOVIE,1960,,158,tt0268639,6.4,82
21,tm204541,Dark Waters,MOVIE,1956,,120,tt0049761,6.7,590
22,tm14350,Alexandriaâ€¦ Why?,MOVIE,1979,,133,tt0077751,7.2,1689
23,tm102287,Raya and Sakina,MOVIE,1953,,105,tt0316472,6.8,231
24,tm76557,No Longer Kids,MOVIE,1979,,235,tt8312792,9,943
25,tm71909,Amrapali,MOVIE,1966,,120,tt0060104,6.7,225
26,tm94651,Dostana,MOVIE,1980,,161,tt0080653,2.1,25
27,tm19608,The Blazing Sun,MOVIE,1954,,100,tt0044429,7.4,1219
28,ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,tt0202477,8.1,2144
29,tm90896,The Return of the Prodigal Son,MOVIE,1976,,124,tt0074168,7.2,768
30,tm75975,Prince,MOVIE,1969,,152,tt0064842,6.9,168
31,tm107372,Manoranjan,MOVIE,1974,,162,tt0071811,6.5,236
32,tm200475,"Beirut, Oh Beirut",MOVIE,1975,,110,tt0169599,6.5,106
33,tm259855,We Are All for the Fatherland,MOVIE,1979,,74,tt0170799,6.2,43
34,tm259684,Whispers,MOVIE,1980,,93,tt0170803,7.8,75
35,tm344089,Lal Patthar,MOVIE,1971,,153,tt0237395,6.2,137
36,tm358653,Ujala,MOVIE,1959,,142,tt0157132,6.7,78
37,tm100027,Alibaba Aur 40 Chor,MOVIE,1979,,138,tt0079749,6.2,555
38,tm10204,Professor,MOVIE,1962,,163,tt0056379,6.8,285
39,tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,,135,tt3290368,4.6,14
40,tm16812,Bandie,MOVIE,1978,,141,tt1219315,4.2,35
41,tm336403,Khoon Khoon,MOVIE,1973,,131,tt0230412,5.1,41
42,tm119776,Top Gun,MOVIE,1986,PG,110,tt0092099,6.9,329656
43,ts20681,Seinfeld,SHOW,1989,TV-PG,24,tt0098904,8.9,302700
44,tm111075,Stand by Me,MOVIE,1986,R,89,tt0092005,8.1,392790
45,tm180542,Once Upon a Time in America,MOVIE,1984,R,229,tt0087843,8.3,342335
46,tm138875,When Harry Met Sally...,MOVIE,1989,R,96,tt0098635,7.7,212913
47,tm155792,Teenage Mutant Ninja Turtles,MOVIE,1990,PG,93,tt0100758,6.7,92647
48,tm22327,Full Metal Jacket,MOVIE,1987,R,116,tt0093058,8.3,723306
49,tm54450,Christine,MOVIE,1983,R,90,tt0085333,6.7,80945
50,tm2386,A Nightmare on Elm Street,MOVIE,1984,R,91,tt0087800,7.4,230543
51,ts22082,Knight Rider,SHOW,1982,TV-PG,51,tt0083437,6.9,33760
52,tm145608,Awakenings,MOVIE,1990,PG-13,120,tt0099077,7.8,137549
53,ts21715,Thomas & Friends,SHOW,1984,TV-Y,10,tt0086815,6.5,4948
54,tm41289,Annie,MOVIE,1982,PG,127,tt0083564,6.6,44866
55,tm132694,Pet Sematary,MOVIE,1989,R,103,tt0098084,6.5,102212
56,ts20678,Saved by the Bell,SHOW,1989,TV-G,23,tt0096694,7.1,34854
57,tm117580,She's Gotta Have It,MOVIE,1986,R,84,tt0091939,6.7,14277
58,tm20712,Eddie Murphy Raw,MOVIE,1987,R,93,tt0092948,7.6,19646
59,tm130586,Endless Love,MOVIE,1981,R,116,tt0082329,4.9,8374
60,ts25028,Wheel of Fortune,SHOW,1983,TV-G,26,tt0072584,6.7,3126
